sampleID,Resistance,Region,Site
OF_001,Low,ECA,MiddleECA
OF_002,Low,ECA,MiddleECA
OF_003,High,ECA,NorthECA
OF_004,High,ECA,NorthECA
OF_005,Medium,ECA,SouthECA
OF_006,Medium,ECA,NorthECA
OF_007,Medium,ECA,MiddleECA
OF_008,Medium,ECA,MiddleECA
OF_009,Low,ECA,NorthECA
OF_011,High,ECA,NorthECA
OF_012,High,ECA,NorthECA
OF_013,Medium,ECA,NorthECA
OF_014,Medium,ECA,NorthECA
OF_015,Low,ECA,NorthECA
OF_016,Low,ECA,NorthECA
OF_017,Low,ECA,SouthECA
OF_018,Medium,ECA,NorthECA
OF_019,Low,ECA,MiddleECA
OF_020,Low,ECA,SouthECA
OF_021,Low,ECA,SouthECA
OF_022,Low,ECA,MiddleECA
OF_023,Medium,ECA,SouthECA
OF_024,High,ECA,SouthECA
OF_025,Low,ECA,MiddleECA
OF_026,Medium,ECA,MiddleECA
OF_027,Low,ECA,MiddleECA
OF_028,Low,ECA,MiddleECA
OF_029,High,ECA,SouthECA
OF_030,High,ECA,SouthECA
OF_031,High,ECA,NorthECA
OF_032,Low,ECA,SouthECA
OF_033,Low,ECA,NorthECA
OF_034,Medium,ECA,NorthECA
OF_035,High,ECA,MiddleECA
OF_036,Medium,ECA,MiddleECA
OF_037,High,ECA,SouthECA
OF_038,High,ECA,SouthECA
OF_039,High,ECA,MiddleECA
OF_040,Medium,ECA,MiddleECA
OF_041,High,ECA,SouthECA
OF_043,Medium,ECA,MiddleECA
OF_044,Medium,ECA,SouthECA
OF_045,High,ECA,SouthECA
OF_046,Medium,Looe,Looe
OF_047,Medium,Looe,Looe
OF_048,Low,Looe,Looe
OF_049,Low,Looe,Looe
OF_050,Low,Looe,Looe
OF_051,Low,Looe,Looe
OF_052,Low,Looe,Looe
OF_053,Medium,Looe,Looe
OF_054,Medium,Looe,Looe
OF_055,Low,Looe,Looe
OF_056,Low,Looe,Looe
OF_057,Low,Looe,Looe
OF_058,Medium,Looe,Looe
OF_059,Medium,Looe,Looe
OF_060,Medium,Looe,Looe
OF_061,Medium,Looe,Looe
OF_062,High,Looe,Looe
OF_063,High,Looe,Looe
OF_064,High,Looe,Looe
OF_065,High,Looe,Looe
OF_066,High,Looe,Looe
OF_067,High,Looe,Looe
OF_068,High,Looe,Looe
OF_069,High,Looe,Looe
OF_070,Medium,Sand,Sand
OF_071,Low,Sand,Sand
OF_072,Low,Sand,Sand
OF_073,Medium,Sand,Sand
OF_074,Low,Sand,Sand
OF_075,Medium,Sand,Sand
OF_076,Low,Sand,Sand
OF_077,Medium,Sand,Sand
OF_078,Medium,Sand,Sand
OF_079,Low,Sand,Sand
OF_080,Medium,Sand,Sand
OF_081,Low,Sand,Sand
OF_082,Medium,Sand,Sand
OF_083,Low,Sand,Sand
OF_084,High,Sand,Sand
OF_085,High,Sand,Sand
OF_086,High,Sand,Sand
OF_087,High,Sand,Sand
OF_088,High,Sand,Sand
OF_089,High,Sand,Sand
OF_090,High,Sand,Sand
OF_091,Medium,ECA,MiddleECA
OF_093,Medium,ECA,MiddleECA
OF_094,Medium,ECA,MiddleECA
OF_095,High,Looe,Looe
OF_096,High,Looe,Looe
rrcOfav5_AGGG,Low,Sand,Sand
rrcOfav5_TCCG,Low,Sand,Sand
