sample,Symbiodinium,Breviolum,Cladocopium,Durusdinium
P002,0.968623623,0.006414726,0.023427695,0.001533956
P003,0.959996862,0.015295317,0.022903757,0.001804063
P004,0.966302838,0.014129788,0.016669974,0.0028974
P006,0.97057903,0.012474849,0.014978761,0.00196736
P008,0.959318586,0.01093313,0.025997966,0.003750318
P009,0.977206014,0.00940514,0.011471874,0.001916971
P010,0.95658816,0.010439211,0.028644176,0.004328453
P011,0.039017891,0.035782261,0.916063951,0.009135896
P014,0.960984223,0.015948055,0.020162898,0.002904824
P015,0.966930446,0.010412328,0.020158267,0.002498959
P019,0.977049933,0.00727845,0.013474968,0.002196649
P020,0.984282908,0.004798247,0.009709838,0.001209007
P022,0.977272727,0.009200642,0.011163164,0.002363468
P024,0.969397828,0.006800483,0.022814522,9.87E-04
P027,0.96437205,0.012605042,0.019972373,0.003050535
P028-2,0.009175632,0.010219136,0.978122414,0.002482818
P029,0.967010309,0.008088818,0.023076923,0.001823949
P031,0.971773834,0.010166771,0.016810845,0.001248551
P032,0.974956585,0.007906041,0.015035189,0.002102184
P033,0.980041026,0.007302564,0.010974359,0.001682051
P034,0.957054499,0.012020072,0.028941533,0.001983895
P035,0.967337808,0.009197117,0.020233656,0.003231419
P038,0.015923396,0.013663995,0.967561461,0.002851149
P040,0.977873348,0.007292446,0.014086263,7.48E-04
P043,0.983418767,0.006147913,0.009098251,0.001335069
P044,0.974027281,0.00916092,0.014169225,0.002642573
P045,0.982052541,0.006064326,0.010115394,0.001767739
P049,0.946325859,0.010888622,0.033158008,0.009627511
P057,0.963764745,0.009496702,0.020512329,0.006226224
P073,0.976585254,0.005076142,0.013824166,0.004514438
P077-3,0.936284373,0.006343617,0.044125866,0.013246144
P078,0.968939737,0.00659266,0.019800634,0.004666969
P083,0.984568921,0.005784776,0.007460108,0.002186195
P084,0.974881822,0.006200117,0.014219835,0.004698226
P085,0.969068261,0.00522325,0.019058067,0.006650421
P087,0.947785636,0.005898209,0.034824068,0.011492087
,,,,
,0.889632577,0.00974033,0.097022855,0.003604238
